"Step","golden-pyramid-593 - avg_actions_taken_per_successful_game","golden-pyramid-593 - avg_actions_taken_per_successful_game__MIN","golden-pyramid-593 - avg_actions_taken_per_successful_game__MAX"
"90","15.876543209876543","15.876543209876543","15.876543209876543"
"91","15.841463414634147","15.841463414634147","15.841463414634147"
"92","15.783132530120483","15.783132530120483","15.783132530120483"
"93","15.783132530120483","15.783132530120483","15.783132530120483"
"94","15.783132530120483","15.783132530120483","15.783132530120483"
"95","15.69047619047619","15.69047619047619","15.69047619047619"
"96","15.905882352941177","15.905882352941177","15.905882352941177"
"97","15.80232558139535","15.80232558139535","15.80232558139535"
"98","15.735632183908047","15.735632183908047","15.735632183908047"
"99","15.613636363636363","15.613636363636363","15.613636363636363"
"100","15.887640449438202","15.887640449438202","15.887640449438202"
"101","15.833333333333334","15.833333333333334","15.833333333333334"
"102","16.0989010989011","16.0989010989011","16.0989010989011"
"103","16.17391304347826","16.17391304347826","16.17391304347826"
"104","16.193548387096776","16.193548387096776","16.193548387096776"
"105","16.085106382978722","16.085106382978722","16.085106382978722"
"106","15.989473684210527","15.989473684210527","15.989473684210527"
